,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:05,05:25,06:42,12:18,12:45,03:05,03:49,04:15,05:44,05:51,07:10,07:30
2,05:03,05:23,06:40,12:18,12:45,03:06,03:50,04:15,05:46,05:53,07:12,07:30
3,05:01,05:21,06:38,12:17,12:45,03:07,03:52,04:15,05:48,05:55,07:13,07:30
4,04:59,05:19,06:36,12:17,12:45,03:08,03:53,04:15,05:49,05:56,07:14,07:30
5,04:57,05:17,06:34,12:17,01:00,03:10,03:55,04:15,05:51,05:58,07:15,07:30
6,04:54,05:14,06:31,12:17,12:45,03:11,03:56,04:15,05:53,06:00,07:17,07:30
7,04:52,05:12,06:29,12:16,12:45,03:12,03:58,04:15,05:55,06:02,07:18,07:30
8,04:50,05:10,06:27,12:16,12:45,03:13,03:59,04:15,05:56,06:03,07:19,07:30
9,04:48,05:08,06:25,12:16,12:45,03:14,04:01,04:30,05:58,06:05,07:20,07:45
10,04:46,05:06,06:23,12:16,12:45,03:15,04:02,04:30,06:00,06:07,07:22,07:45
11,04:43,05:03,06:20,12:15,12:45,03:17,04:04,04:30,06:02,06:09,07:24,07:45
12,04:41,05:01,06:18,12:15,01:00,03:18,04:05,04:30,06:03,06:10,07:25,07:45
13,04:39,04:59,06:16,12:15,12:45,03:19,04:07,04:30,06:05,06:12,07:26,07:45
14,04:37,04:57,06:14,12:15,12:45,03:20,04:08,04:30,06:07,06:14,07:28,07:45
15,04:34,04:54,06:11,12:14,12:45,03:21,04:09,04:30,06:08,06:15,07:29,07:45
16,04:32,04:52,06:09,12:14,12:45,03:22,04:11,04:30,06:10,06:17,07:31,07:45
17,04:30,04:50,06:07,12:14,12:45,03:23,04:12,04:30,06:12,06:19,07:32,07:45
18,04:27,04:47,06:04,12:14,12:45,03:24,04:14,04:45,06:14,06:21,07:34,08:00
19,04:25,04:45,06:02,12:13,01:00,03:25,04:15,04:45,06:15,06:22,07:35,08:00
20,04:24,04:44,06:00,12:13,12:45,03:26,04:16,04:45,06:17,06:24,07:37,08:00
21,04:22,04:42,05:58,12:13,12:45,03:27,04:18,04:45,06:19,06:26,07:38,08:00
22,04:20,04:40,05:55,12:12,12:45,03:28,04:19,04:45,06:20,06:27,07:39,08:00
23,04:18,04:38,05:53,12:12,12:45,03:29,04:20,04:45,06:22,06:29,07:41,08:00
24,04:16,04:36,05:51,12:12,12:45,03:30,04:22,04:45,06:24,06:31,07:43,08:00
25,04:14,04:34,05:49,12:11,12:45,03:31,04:23,04:45,06:25,06:32,07:43,08:00
26,04:12,04:32,05:46,12:11,01:00,03:32,04:24,04:45,06:27,06:34,07:45,08:00
27,04:10,04:30,05:44,12:11,12:45,03:33,04:25,04:45,06:29,06:36,07:47,08:00
28,05:09,05:29,06:42,01:11,01:30,04:34,05:27,05:45,07:30,07:37,08:48,09:15
29,05:06,05:26,06:39,01:10,01:30,04:35,05:28,05:45,07:32,07:39,08:49,09:15
30,05:04,05:24,06:37,01:10,01:30,04:36,05:29,05:45,07:34,07:41,08:51,09:15
31,05:03,05:23,06:35,01:10,01:30,04:37,05:30,05:45,07:35,07:42,08:52,09:15